"GradYear","Division","Credential","Grads-N","Response-%","Labour-Force-Participation-%","Employment-%","Employment-FT-%","Salary-FT-Related-Mean","Employment-FT-Related-%"
"2014","H","OCC","3404","54.2","76.4","89.1","56.5","31630.7","43.8"
"2014","H","OCD","5637","59.7","90.1","85.2","55.8","42815.56","46.6"
"2014","H","OCG","1192","57","85","88.9","71.1","62719.48","54.9"
"2014","T","DAA","257","58","82.6","86.2","78","46031.01","73.2"
"2014","T","OCA","4983","58.5","85.1","82.7","74.3","43339.01","61"
"2014","T","OCC","4028","59.1","70.3","85.6","71.5","37891.8","43.2"
"2014","T","OCD","7828","56.4","79.5","82","72.2","39016.82","52.1"
"2014","T","OCG","933","58.4","83.3","78.9","70.3","42180.53","55.5"
"2015","A","DAA","1127","46.6","88.2","86.6","59.4","37104.87","43.4"
"2015","A","OCA","4373","47.6","84","85.2","57.9","34899.77","40.7"
"2015","A","OCC","8134","48.8","27.8","75.8","43.4","33115.32","10.3"
"2015","A","OCD","20863","46.1","76","86.2","57.5","33269.3","38.5"
"2015","A","OCG","3696","49","83.4","82.7","59","38604.6","42.4"
"2015","B","DAA","768","45.6","92.6","86.4","72.8","39208.85","57.7"
"2015","B","OCA","4072","46.9","73.7","82.5","65.1","37535.54","46.2"
"2015","B","OCC","2713","47.4","60.3","78.7","52.8","29279.66","35.4"
"2015","B","OCD","14637","44.2","81.3","79.7","60.8","32818.12","42.9"
"2015","B","OCG","6740","46.8","77","78.5","62.8","38614.99","45.3"
"2015","H","DAA","73","46.6","85.3","89.7","62.1","37061.59","55.2"
"2015","H","OCA","1266","49.3","90.5","88.7","53.6","49761.94","42.8"
"2015","H","OCC","3359","46.9","77.1","88.4","56.8","33544.99","44.9"
"2015","H","OCD","5455","50.3","89.7","86.3","54.5","43139.33","45.6"
"2015","H","OCG","1274","51.8","68","92","70.6","61581.28","60.4"
"2015","T","DAA","271","55.7","90.1","81.6","64","49458.44","54.4"
"2015","T","OCA","5011","50","85.3","82.6","70.8","44141.15","57"
"2015","T","OCC","4427","48.3","73.3","86","72.1","36710.95","42.4"
"2015","T","OCD","8316","49.6","78.6","80.7","67.4","38050.06","47.4"
"2015","T","OCG","1064","48.6","79.5","80","69.6","42482.05","53"
