INSTITUTION,INSTITUTION_NAME,INSTITUTION_TYPE_CODE,INSTITUTION_TYPE_EN_DESC,POSTAL_CODE,UNIV,MAIN
MAC,McMaster University,35007003,McMaster Nursing at Conestoga,N2G1C5,1,0
MAC,McMaster University,35007004,McMaster Nursing at Mohawk,L8S1C7,1,0
NIPS,Nipissing University,35008002,Nipissing University - Brantford Campus,N3T2L6,1,0
NIPS,Nipissing University,35008003,Nipissing University - Bracebridge Campus,P1L1E2,1,0
NIPS,Nipissing University,35008001,Nipissing University,P1B8L7,1,1
OCAD,OCAD University,35022001,Ontario College of Art & Design,M5T1W1,1,1
UOIT,University of Ontario Institute of Technology,35023001,University of Ontario Institute of Technology,L1H7K4,1,1
OTTW,University of Ottawa,35010001,Université d'Ottawa,K1N6N5,1,1
OTTW,University of Ottawa,35010002,Université Saint-Paul,K1S1C4,1,0
QUEN,Queen's University,35011001,Queen's University,K7L3N6,1,1
,Royal Military College ,,Royal Military College ,K7K7B4,1,0
RYER,Ryerson University,35014001,Ryerson University,M5B2K3,1,1
UOFT,University of Toronto,35015001,University of Toronto  (includes federated Arts Colleges),M5S1A1,1,1
UOFT,University of Toronto,35015003,University of Toronto Mississauga (formerly Erindale College),L5L1C6,1,0
UOFT,University of Toronto,35015002,University of Toronto Scarborough (formerly Scarborough College),M1C1A4,1,0
TRNT,Trent University,35016002,Trent University at Durham College/UOIT,L1J5Y1,1,0
TRNT,Trent University,35016001,Trent University,K9J7B8,1,1
WATR,University of Waterloo,35017001,University of Waterloo,N2L3G1,1,1
WATR,University of Waterloo,35017006,Cambridge - School of Architecture,N1S2H4,1,0
WEST,University of Western Ontario,35018001,University of Western Ontario,N6A3K7,1,1
WEST,University of Western Ontario,35018002,Brescia University College,N6G1H2,1,0
WEST,University of Western Ontario,35018003,Huron University College,N6G1H3,1,0
WEST,University of Western Ontario,35018004,King's University College,N6A2M3,1,0
WLU,Wilfrid Laurier University,35019003,Wilfrid Laurier University - Brantford Campus,N3T2Y3,1,0
WLU,Wilfrid Laurier University,,Kitchener,N2H3W8,1,0
WLU,Wilfrid Laurier University,35019001,Wilfrid Laurier University,M5X1C9,1,1
WLU,Wilfrid Laurier University,,Waterloo,N2L3C5,1,0
WIND,University of Windsor,35020001,University of Windsor,N9B3P4,1,1
YORK,York University,35021001,York University,M3J1P3,1,1
YORK,York University,35021003,Glendon College,M4N3M6,1,0
