"Trade Name" "Trade Code" Sector Classification "CofQ Exam?"
"Process Operator  Food Manufacturing" 246T Industrial Voluntary No
"Process Operator - Power" 246R Industrial Voluntary No
"Process Operator - Refinery, Chemical and Liquid Processes" 246F Industrial Voluntary No
"Process Operator - Wood Products" 246W Industrial Voluntary No
"Pump Systems Installer" 263F Industrial Voluntary No
"Railway Car Technician" 268R Industrial Voluntary Yes
"Recreation Vehicle Technician" 690H "Motive Power" Voluntary Yes
"Refractory Mason" 401R Construction Voluntary No
"Refrigeration and Air Conditioning Systems Mechanic" 313A Construction Compulsory Yes
"Reinforcing Rodworker" 452A Construction Voluntary Yes
"Relay and Instrumentation Technician" 288R Industrial Voluntary No
"Residential (Low Rise) Sheet Metal Installer" 308R Construction Compulsory Yes
"Residential Air Conditioning Systems Mechanic" 313D Construction Compulsory Yes
"Restoration Mason" 244H Construction Voluntary No
"Retail Meat Cutter" 245R Service Voluntary No
"Roll Grinder/Turner" 602H Industrial Voluntary No
Roofer 449A Construction Voluntary Yes
Saddlery 219C Service Voluntary No
"Saw Filer/Fitter" 611B Industrial Voluntary No
"Sheet Metal Worker" 308A Construction Compulsory Yes
"Ski Lift Mechanic" 297A Industrial Voluntary Yes
"Small Engine Technician" 435A "Motive Power" Voluntary Yes
"Special Events Coordinator" 297B Service Voluntary No
"Sprinkler and Fire Protection Installer" 427A Construction Compulsory Yes
Steamfitter 307A Construction Compulsory Yes
"Surface Blaster" 278B Industrial Voluntary Yes
"Surface Mount Assembler" 630B Industrial Voluntary No
"Terrazzo, Tile and Marble Setter" 241A Construction Voluntary Yes
"Thin Film Technician" 225F Industrial Voluntary No
"Tire, Wheel and Rim Mechanic" 295A "Motive Power" Voluntary No
"Tool and Cutter Grinder" 602C Industrial Voluntary No
"Tool and Die Maker" 430A Industrial Voluntary Yes
"Tool and Gauge Inspector" 239B Industrial Voluntary No
"Tool/Tooling Maker" 630T Industrial Voluntary Yes
"Tractor-Trailer Commercial Driver" 638A Industrial Voluntary No
"Transmission Technician" 310D "Motive Power" Compulsory Yes
"Truck and Coach Technician" 310T "Motive Power" Compulsory Yes
"Truck-Trailer Service Technician" 310J "Motive Power" Compulsory Yes
"Turf Equipment Technician" 421C "Motive Power" Voluntary No
"Utility Arborist" 444B Service Voluntary Yes
"Water Well Driller" 605B Industrial Voluntary No
Welder 456A Industrial Voluntary Yes
"Wooden Boat Rebuilder" 211W Service Voluntary No
